what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139031576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139033603
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139035941
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139036035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139036107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338139047085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1338139048687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139048746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338139049480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338139050264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139055246
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338139069375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338139073471
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338139087467
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338139141268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139147496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139149344
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338139153321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139158852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139160084
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338139160954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139166894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139167913
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338139168944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139177193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139283539
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139285808
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338139304201
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338139330597
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338139335288
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338139388268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139395141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139533099
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139535368
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139562973
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139563040
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139566747
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139652760
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139661581
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338139673342
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139674210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139674925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139675407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139719760
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139721069
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338139729671
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139762225
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338139817799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338139819058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338139821492
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338139823342
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338139824345
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338139956308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139964135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139965161
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338139966834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139974469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139975862
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338139977696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139985520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338139986746
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338139990256
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338139997174
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338140016861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140024718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140025911
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338140150059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140158766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140160600
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338140161465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140168352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140369026
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338140371470
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338140395435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1338140395646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338140396968
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338140399395
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338140506354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140514788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140517049
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338140518005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140526336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140534539
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338140535553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1338140535881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1338140536406
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338140573584
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338140573684
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338140629613
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338140634131
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338140636353
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338140644229
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338140654872
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338140717524
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140729120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140748518
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338140751193
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338140780471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338140798864
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338140801936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338140803684
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338140804768
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338140807435
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338140814710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338140816323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338140819253
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1338140820684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140822838
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140825229
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338140869739
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338140923356
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338140929287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338141082826
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338141092204
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338141093221
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338141100306
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338141107638
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338141109204
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338141229467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338141236128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338141286924
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338141306620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338141327404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1338141327646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338141333592
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338141335366
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1338142659168
executed,command,it.baeyens.avreclipse.ui,4.0.5,"it.baeyens.avreclipse.commands.uploadproject",1338142663556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338142672221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338142752079
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1338142754191
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338142754940
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1338142756655
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1338142756656
